"Label (Grouping)","Hennepin County, Minnesota!!Estimate","Hennepin County, Minnesota!!Margin of Error","Otter Tail County, Minnesota!!Estimate","Otter Tail County, Minnesota!!Margin of Error","Fergus Falls city, Minnesota!!Estimate","Fergus Falls city, Minnesota!!Margin of Error","Minneapolis city, Minnesota!!Estimate","Minneapolis city, Minnesota!!Margin of Error"
"Total:","192,578","±2,027","5,009","±377","2,309","±303","94,065","±1,602"
"    Less than 10.0 percent","7,590","±719","239","±95","36","±51","3,663","±563"
"    10.0 to 14.9 percent","18,058","±921","637","±157","302","±119","9,037","±759"
"    15.0 to 19.9 percent","26,786","±1,076","482","±149","204","±115","13,394","±822"
"    20.0 to 24.9 percent","26,990","±1,296","671","±203","334","±148","11,870","±810"
"    25.0 to 29.9 percent","23,805","±1,345","469","±152","207","±124","11,847","±993"
"    30.0 to 34.9 percent","17,909","±1,012","399","±130","229","±121","9,085","±771"
"    35.0 to 39.9 percent","10,964","±834","219","±104","121","±79","4,945","±546"
"    40.0 to 49.9 percent","14,626","±963","183","±65","57","±47","6,852","±576"
"    50.0 percent or more","39,563","±1,416","1,083","±209","691","±183","19,982","±952"
"    Not computed","6,287","±602","627","±95","128","±68","3,390","±461"
